"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg"
2001,2052622301.9773722,13354648.057050956,3763140886.958521
2002,2419478254.576364,16452696.334732065,4435710133.389991
2003,2042760990.3214755,14475359.105422787,3745061815.58939
2004,2912225262.1253667,19908672.58043608,5339079647.229839
2005,2758664788.870938,18098246.600176666,5057552112.930048
2006,2664764712.2384152,17649677.85326108,4885401972.437109
2007,2824701443.109611,18387928.13384994,5178619312.367616
2008,2811447903.22335,18611137.218192797,5154321155.909511
2009,2718518547.6913834,16991657.714812815,4983950670.767543
2010,2864391582.9311886,18553349.50454231,5251384568.707186
2011,2609293868.4687824,17579207.790917404,4783705425.526098
2012,3416294211.823888,23532282.413908496,6263206055.010478
2013,2790298206.3809366,20643257.873081848,5115546711.698393
2014,3417621326.5954638,23732711.572020523,6265639098.758388
2015,2854785576.7006283,19622331.281394664,5233773557.284481
2016,4620522521.235468,29674781.24449069,8470957955.598343
2017,4397845381.589017,29378011.90263195,8062716532.913218
2018,3652490543.2921224,24750164.3418307,6696232662.702276
2019,3554965212.1890674,24174212.304884028,6517436222.346632
